TIMESTAMP X(mg) Y(mg) Z(mg)
599618625726689920 -827 -15 596
599618625736560768 -827 -13 601
599618625746431616 -829 -15 606
599618625756302592 -831 -16 608
599618625766173440 -835 -22 606
599618625776044288 -837 -23 606
599618625785915136 -836 -23 609
599618625795785984 -833 -14 607
599618625805656960 -831 -8 607
599618625815527808 -827 -6 611
599618625825398656 -822 -4 612
599618625835269504 -819 -4 617
599618625845140480 -824 -3 621
599618625855011328 -831 -4 615
599618625864882198 -846 -3 609
599618625874754688 -858 1 608
599618625884627200 -858 9 611
599618625894499840 -851 23 613
599618625904372352 -847 26 606
599618625914244992 -834 29 593
599618625924117504 -832 26 580
599618625933990144 -821 14 563
599618625943862656 -804 5 559
599618625953735296 -789 2 567
599618625963607808 -777 -1 588
599618625973480448 -772 2 601
599618625983352960 -781 4 606
599618625993225600 -785 7 607
599618626003098112 -794 6 608
599618626012970752 -804 0 615
599618626022843264 -808 -8 623
599618626032715904 -814 -9 632
599618626042588416 -832 -15 632
599618626052461056 -843 -8 630
599618626062333568 -844 -1 613
599618626072206208 -838 -2 597
599618626082078720 -832 -6 577
599618626091951360 -827 0 578
599618626101823872 -821 0 589
599618626111696512 -803 -10 598
599618626121569024 -799 -19 608
599618626131441664 -796 -25 608
599618626141314176 -799 -32 607
599618626151186688 -803 -49 601
599618626161059328 -810 -60 603
599618626170931840 -818 -69 601
599618626180804480 -826 -73 600
599618626190676992 -833 -88 604
599618626200549632 -848 -98 602
599618626210422144 -869 -110 586
599618626220294846 -893 -103 571
599618626230162304 -903 -102 560
599618626240029824 -905 -92 553
599618626249897216 -902 -102 554
599618626259764736 -903 -117 536
599618626269632256 -907 -146 511
599618626279499776 -907 -187 505
599618626289367168 -913 -192 511
599618626299234688 -919 -183 511
599618626309102208 -925 -169 500
599618626318969728 -929 -145 498
599618626328837120 -926 -134 498
599618626338704640 -920 -130 504
599618626348572160 -920 -129 517
599618626358439680 -914 -139 510
599618626368307072 -912 -144 498
599618626378174592 -908 -171 485
599618626388042112 -906 -196 463
599618626397909504 -903 -213 441
599618626407777024 -900 -232 432
599618626417644544 -890 -250 424
599618626427512064 -878 -264 432
599618626437379456 -860 -288 443
599618626447246976 -846 -299 453
599618626457114496 -842 -311 459
599618626466982016 -839 -313 462
599618626476849408 -851 -318 464
599618626486716928 -867 -325 461
599618626496584448 -883 -335 461
599618626506451968 -901 -355 458
599618626516319360 -908 -364 443
599618626526186880 -912 -384 411
599618626536054400 -907 -393 384
599618626545921792 -905 -398 372
599618626555789312 -901 -391 375
599618626565656832 -895 -375 390
599618626575524342 -889 -346 419
599618626585398656 -880 -326 443
599618626595272960 -878 -321 455
599618626605147136 -882 -318 458
599618626615021440 -881 -334 450
599618626624895744 -871 -364 445
599618626634770048 -855 -390 434
599618626644644224 -857 -411 423
599618626654518528 -865 -434 429
599618626664392832 -866 -447 437
599618626674267136 -875 -448 442
599618626684141312 -881 -451 442
599618626694015616 -874 -451 437
599618626703889920 -876 -453 426
599618626713764096 -876 -456 414
599618626723638400 -869 -452 407
599618626733512704 -870 -445 405
599618626743387008 -876 -429 406
599618626753261184 -882 -421 403
599618626763135488 -888 -415 398
599618626773009792 -888 -408 399
599618626782883968 -874 -412 412
599618626792758272 -858 -408 422
599618626802632576 -848 -410 421
599618626812506880 -849 -412 404
599618626822381056 -851 -418 388
599618626832255360 -846 -426 384
599618626842129664 -847 -428 384
599618626852003968 -844 -425 393
599618626861878144 -862 -416 396
599618626871752448 -878 -405 398
599618626881626752 -884 -402 398
599618626891500928 -886 -398 397
599618626901375232 -886 -397 395
599618626911249536 -885 -396 394
599618626921123840 -881 -398 393
599618626930998014 -877 -397 392
599618626940868864 -876 -397 401
599618626950739712 -873 -400 403
599618626960610560 -871 -401 397
599618626970481536 -869 -404 403
599618626980352384 -871 -401 419
599618626990223232 -871 -398 425
599618627000094080 -869 -393 425
599618627009965056 -870 -390 426
